Data,Horário,Rodada,Mandante,Visitante,Gols_Mandante,Gols_Visitante,Resultado Final,Total_Gols,Gols_Mandante_Primeiro_Tempo,Gols_Visitante_Primeiro_Tempo,Resultado_Primeiro_Tempo,Total_Gols_Primeiro_Tempo,Posição_Mandante,Posição_Visitante,Minuto_Gols_Mandante,Minuto_Gols_Visitante,Jogador_Mandante_Gols,Jogador_Visitante_Gols,Gols_Mandante_Prorrogação,Gols_Visitante_Prorrogação,Gols_Mandante_Pênaltis,Gols_Visitante_Pênaltis,Primeiro_Time_Marcador,Árbitro,Público
04/02/2026,19:00,2,Flamengo,Internacional,1,1,E,2,0,1,V,1,13,17,68,45+2,Giorgian de Arrascaeta,Rafael Borré,0,0,0,0,Internacional,Rodrigo José Pereira de Lima,56421
04/02/2026,19:00,2,Bragantino,Atlético-MG,1,0,M,1,1,0,M,1,9,10,38,,Gustavo Neves,,0,0,0,0,Bragantino,Lucas Paulo Torezin,3459
04/02/2026,20:00,2,Santos,São Paulo,1,1,E,2,1,0,M,1,18,7,45+5,66,Zé Rafael,Jonathan Calleri,0,0,0,0,Santos,Anderson Daronco,10280
04/02/2026,20:00,2,Remo,Mirassol,2,2,E,4,2,0,M,2,19,6,"8, 39","81, 89","João Pedro, Alef Manga","Igor Formiga, Nathan Fogaça",0,0,0,0,Remo,Alex Gomes Stefano,21118
04/02/2026,21:30,2,Palmeiras,Vitória,5,1,M,6,3,0,M,3,11,3,"24, 28, 45+5, 63, 80",56,"Murilo, Gustavo Gómez, Mauricio, Allan, Ramón Sosa",Dudu,0,0,0,0,Palmeiras,Sávio Pereira Sampaio,8953
04/02/2026,21:30,2,Grêmio,Botafogo,5,3,M,8,1,2,V,3,14,1,"26, 50, 57, 60, 79","17, 36, 86","Carlos Vinícius, Carlos Vinícius, Carlos Vinícius, Tetê, Edenilson","Arthur Cabral, Danilo, Danilo",0,0,0,0,Botafogo,Felipe Fernandes de Lima,18573
05/02/2026,19:00,2,Bahia,Fluminense,1,1,E,2,0,1,V,1,4,5,78,20,Cristian Olivera,John Kennedy,0,0,0,0,Fluminense,Matheus Delgado Candançan,40310
05/02/2026,20:00,2,Vasco da Gama,Chapecoense,1,1,E,2,0,0,E,0,15,2,55,90+1,José Luis Rodríguez,Jean Carlos,0,0,0,0,Vasco da Gama,Wilton Pereira Sampaio,15702
05/02/2026,21:30,2,Cruzeiro,Coritiba,1,2,V,3,1,1,E,2,20,16,19,"45, 53",Matheus Pereira,"Joaquín Lavega, Breno Lopes",0,0,0,0,Cruzeiro,Bruno Arleu de Araújo,15270
19/02/2026,19:30,2,Athletico-PR,Corinthians,0,1,V,1,0,1,V,1,8,12,,20,,Rodrigo Garro,0,0,0,0,Corinthians,Rodrigo José Pereira de Lima,16804
10/02/2026,21:30,3,Vitória,Flamengo,1,2,V,3,0,2,V,2,13,15,51,"15, 45+4",Matheuzinho,"Erick Pulgar, Everton",0,0,0,0,Flamengo,Raphael Claus,27080
11/02/2026,19:00,3,Mirassol,Cruzeiro,2,2,E,4,1,1,E,2,4,20,"38, 53","23, 85","Nathan Fogaça, Negueba","Wanderson, Kaio Jorge",0,0,0,0,Cruzeiro,Bráulio da Silva Machado,5134
11/02/2026,19:00,3,Chapecoense,Coritiba,3,3,E,6,1,1,E,2,3,11,"45, 71, 90+1","41, 57, 59","Walter Clar, Doma, Rubens","Breno Lopes, Breno Lopes, Pedro Rocha",0,0,0,0,Coritiba,Wagner do Nascimento Magalhães,10578
11/02/2026,20:00,3,Atlético-MG,Remo,3,3,E,6,1,1,E,2,14,19,"22, 70, 90+8","42, 87, 90+2","Hulk, Ruan, Dudu","Vitor Bueno, Yago Pikachu, Alef Manga",0,0,0,0,Atlético-MG,Matheus Delgado Candançan,16056
11/02/2026,21:30,3,Vasco da Gama,Bahia,0,1,V,1,0,1,V,1,16,5,,22,,Luciano Juba,0,0,0,0,Bahia,Paulo Cesar Zanovelli,11477
11/02/2026,21:30,3,São Paulo,Grêmio,2,0,M,2,1,0,M,1,7,9,"24, 59",,"Lucas Moura, Jonathan Calleri",,0,0,0,0,São Paulo,Sávio Pereira Sampaio,18491
12/02/2026,19:00,3,Athletico-PR,Santos,2,1,M,3,1,1,E,2,12,18,"6, 90+1",17,"Julimar, Kevin Viveros",Thaciano,0,0,0,0,Athletico-PR,Ramon Abatti Abel,27083
12/02/2026,19:30,3,Fluminense,Botafogo,1,0,M,1,0,0,E,0,6,8,55,,Luciano Acosta,,0,0,0,0,Fluminense,Rafael Rodrigo Klein,30397
12/02/2026,20:00,3,Corinthians,Bragantino,2,0,M,2,0,0,E,0,10,1,"47, 74",,"Gabriel Paulista, Matheus Bidu",,0,0,0,0,Corinthians,Felipe Fernandes de Lima,26985
12/02/2026,21:30,3,Internacional,Palmeiras,1,3,V,4,1,1,E,2,17,2,36,"23, 52, 82",Ronaldo,"Gustavo Gómez, Vitor Roque, Andreas Pereira",0,0,0,0,Palmeiras,Davi de Oliveira Lacerda,20082
25/02/2026,19:00,4,Bragantino,Athletico-PR,1,1,E,2,1,0,M,1,7,6,43,79,Juninho Capixaba,Julimar,0,0,0,0,Bragantino,Wagner do Nascimento Magalhães,2378
25/02/2026,19:00,4,Remo,Internacional,1,1,E,2,1,1,E,2,16,19,14,4,Leonel Picco,Alan Patrick,0,0,0,0,Internacional,Bruno Arleu de Araújo,21687
25/02/2026,19:30,4,Coritiba,São Paulo,0,1,V,1,0,0,E,0,10,2,,57,,Cauly,0,0,0,0,São Paulo,Wilton Pereira Sampaio,21687
25/02/2026,20:00,4,Cruzeiro,Corinthians,1,1,E,2,1,0,M,1,20,5,9,82,Matheus Pereira,Tchoca,0,0,0,0,Cruzeiro,Davi de Oliveira Lacerda,20267
25/02/2026,21:30,4,Palmeiras,Fluminense,2,1,M,3,2,1,M,3,1,4,"9, 13",40,"Vitor Roque, Allan",Luciano Acosta,0,0,0,0,Palmeiras,Felipe Fernandes de Lima,10329
25/02/2026,21:30,4,Grêmio,Atlético-MG,2,1,M,3,0,0,E,0,13,15,"51, 66",56,"Erick Noriega, Marlon",Victor Hugo,0,0,0,0,Grêmio,Raphael Claus,15714
26/02/2026,19:00,4,Santos,Vasco da Gama,2,1,M,3,1,1,E,2,18,17,"25, 61",43,"Neymar, Neymar",Cauan Barros,0,0,0,0,Santos,Rafael Rodrigo Klein,8808
